composite | 2023-02-02 2023-02-02 03:50:00 Sell: No option snapshot (expiry=2023-02-02, spot=17517.35)
composite | 2023-02-02 2023-02-02 03:59:00 Sell: No option snapshot (expiry=2023-02-02, spot=17539.25)
composite | 2023-02-02 2023-02-02 04:00:00 Sell: No option snapshot (expiry=2023-02-02, spot=17547.75)
composite | 2023-02-02 2023-02-02 04:01:00 Buy: No option snapshot (expiry=2023-02-02, spot=17574.65)
composite | 2023-02-02 2023-02-02 04:02:00 Buy: No option snapshot (expiry=2023-02-02, spot=17560.45)
composite | 2023-02-02 2023-02-02 04:03:00 Buy: No option snapshot (expiry=2023-02-02, spot=17547.35)
composite | 2023-02-02 2023-02-02 04:04:00 Buy: No option snapshot (expiry=2023-02-02, spot=17564.45)
composite | 2023-02-02 2023-02-02 04:05:00 Buy: No option snapshot (expiry=2023-02-02, spot=17590.55)
composite | 2023-02-02 2023-02-02 04:06:00 Buy: No option snapshot (expiry=2023-02-02, spot=17571.05)
composite | 2023-02-02 2023-02-02 04:07:00 Buy: No option snapshot (expiry=2023-02-02, spot=17547.3)
composite | 2023-02-02 2023-02-02 04:08:00 Buy: No option snapshot (expiry=2023-02-02, spot=17583.55)
composite | 2023-02-02 2023-02-02 04:09:00 Buy: No option snapshot (expiry=2023-02-02, spot=17557.65)
composite | 2023-02-02 2023-02-02 04:10:00 Buy: No option snapshot (expiry=2023-02-02, spot=17563.4)
composite | 2023-02-02 2023-02-02 04:11:00 Buy: No option snapshot (expiry=2023-02-02, spot=17582.5)
composite | 2023-02-02 2023-02-02 04:12:00 Buy: No option snapshot (expiry=2023-02-02, spot=17580.85)
composite | 2023-02-02 2023-02-02 04:13:00 Buy: No option snapshot (expiry=2023-02-02, spot=17593.4)
composite | 2023-02-02 2023-02-02 04:14:00 Buy: No option snapshot (expiry=2023-02-02, spot=17609.85)
composite | 2023-02-02 2023-02-02 04:15:00 Buy: No option snapshot (expiry=2023-02-02, spot=17616.3)
composite | 2023-02-02 2023-02-02 04:16:00 Buy: No option snapshot (expiry=2023-02-02, spot=17619.2)
composite | 2023-02-02 2023-02-02 04:17:00 Buy: No option snapshot (expiry=2023-02-02, spot=17628.4)
composite | 2023-02-02 2023-02-02 04:18:00 Buy: No option snapshot (expiry=2023-02-02, spot=17637.65)
composite | 2023-02-02 2023-02-02 04:19:00 Buy: No option snapshot (expiry=2023-02-02, spot=17623.4)
composite | 2023-02-02 2023-02-02 04:20:00 Buy: No option snapshot (expiry=2023-02-02, spot=17612.55)
composite | 2023-02-02 2023-02-02 04:21:00 Buy: No option snapshot (expiry=2023-02-02, spot=17626.0)
composite | 2023-02-02 2023-02-02 04:22:00 Buy: No option snapshot (expiry=2023-02-02, spot=17634.95)
composite | 2023-02-02 2023-02-02 04:23:00 Buy: No option snapshot (expiry=2023-02-02, spot=17643.15)
