signal,strike_price,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,expiry_date,gross_pnl,expenses,interest,net_pnl
Buy,17600,PE,2023-02-02 09:11:00,127.05,2023-02-02 09:15:00,127.05,SL,2023-02-02,0.0,20.5,0.0,-20.5
Buy,17600,PE,2023-02-02 09:12:00,127.05,2023-02-02 09:15:00,127.05,SL,2023-02-02,0.0,20.5,0.0,-20.5
Buy,17600,PE,2023-02-02 09:13:00,127.05,2023-02-02 09:15:00,127.05,SL,2023-02-02,0.0,20.5,0.0,-20.5
Buy,17600,PE,2023-02-02 09:14:00,127.05,2023-02-02 09:15:00,127.05,SL,2023-02-02,0.0,20.5,0.0,-20.5
Buy,17600,PE,2023-02-02 09:15:00,127.05,2023-02-02 09:16:00,149.05,SL,2023-02-02,-22.0,20.5,0.0,-42.5
Buy,17600,PE,2023-02-02 09:16:00,127.05,2023-02-02 09:17:00,163.85,SL,2023-02-02,-36.8,20.5,0.0,-57.3
Buy,17600,PE,2023-02-02 09:17:00,127.05,2023-02-02 09:18:00,159.8,SL,2023-02-02,-32.75,20.5,0.0,-53.25
Buy,17600,PE,2023-02-02 09:18:00,127.05,2023-02-02 09:19:00,155.35,SL,2023-02-02,-28.3,20.5,0.0,-48.8
Buy,17600,PE,2023-02-02 09:19:00,127.05,2023-02-02 09:20:00,148.95,SL,2023-02-02,-21.9,20.5,0.0,-42.4
Buy,17600,PE,2023-02-02 09:20:00,127.05,2023-02-02 09:21:00,160.2,SL,2023-02-02,-33.15,20.5,0.0,-53.65
Buy,17600,PE,2023-02-02 09:21:00,127.05,2023-02-02 09:22:00,141.15,SL,2023-02-02,-14.1,20.5,0.0,-34.6
Buy,17600,PE,2023-02-02 09:22:00,127.05,2023-02-02 09:24:00,105.25,TP,2023-02-02,21.8,20.5,0.0,1.3
Sell,17600,CE,2023-02-02 09:35:00,48.75,2023-02-02 09:36:00,67.85,SL,2023-02-02,-19.1,20.5,0.0,-39.6
Sell,17600,CE,2023-02-02 09:37:00,54.15,2023-02-02 09:38:00,71.8,SL,2023-02-02,-17.65,20.5,0.0,-38.15
Buy,17600,PE,2023-02-02 09:38:00,101.0,2023-02-02 09:39:00,67.2,TP,2023-02-02,33.8,20.5,0.0,13.3
Buy,17600,PE,2023-02-02 09:39:00,91.9,2023-02-02 09:40:00,63.8,TP,2023-02-02,28.1,20.5,0.0,7.6
Buy,17600,PE,2023-02-02 09:40:00,78.7,2023-02-02 09:41:00,63.2,TP,2023-02-02,15.5,20.5,0.0,-5.0
Buy,17600,PE,2023-02-02 09:41:00,89.35,2023-02-02 09:42:00,58.1,TP,2023-02-02,31.25,20.5,0.0,10.75
Buy,17650,PE,2023-02-02 09:43:00,106.8,2023-02-02 09:44:00,83.95,TP,2023-02-02,22.85,20.5,0.0,2.35
Buy,17600,PE,2023-02-02 09:44:00,94.25,2023-02-02 09:45:00,67.55,TP,2023-02-02,26.7,20.5,0.0,6.2
Buy,17600,PE,2023-02-02 09:45:00,94.65,2023-02-02 09:46:00,57.5,TP,2023-02-02,37.15,20.5,0.0,16.65
Buy,17600,PE,2023-02-02 09:46:00,81.95,2023-02-02 09:47:00,56.0,TP,2023-02-02,25.95,20.5,0.0,5.45
Buy,17600,PE,2023-02-02 09:47:00,81.6,2023-02-02 09:48:00,52.4,TP,2023-02-02,29.2,20.5,0.0,8.7
Buy,17600,PE,2023-02-02 09:48:00,76.3,2023-02-02 09:49:00,49.5,TP,2023-02-02,26.8,20.5,0.0,6.3
Buy,17600,PE,2023-02-02 09:49:00,67.2,2023-02-02 09:50:00,49.05,TP,2023-02-02,18.15,20.5,0.0,-2.35
